IDA, STOCK
OZK, STOCK
NOV, STOCK
FIZZ, STOCK
CROX, STOCK
PK, STOCK
LANC, STOCK
SAIC, STOCK
NEOG, STOCK
VMI, STOCK
SDGR, STOCK
APPF, STOCK
QDEL, STOCK
MSM, STOCK
EVBG, STOCK
EXPO, STOCK
IRDM, STOCK
CRUS, STOCK
SONO, STOCK
RYN, STOCK
UBSI, STOCK
SEM, STOCK
NVT, STOCK
GTES, STOCK
FCN, STOCK
ROLL, STOCK
WEN, STOCK
LAZ, STOCK
MP, STOCK
CD, STOCK
SLG, STOCK
ALTR, STOCK
POWI, STOCK
ALGM, STOCK
ALLO, STOCK
QRTEB, STOCK
TTEC, STOCK
EXPI, STOCK
GTLS, STOCK
QRTEA, STOCK
ENSG, STOCK
ALSN, STOCK
THG, STOCK
MTG, STOCK
CC, STOCK
BB, STOCK
ESI, STOCK
SLQT, STOCK
SLGN, STOCK
HXL, STOCK
BHVN, STOCK
EQT, STOCK
UFPI, STOCK
NOVT, STOCK
SABR, STOCK
SPR, STOCK
CLH, STOCK
LESL, STOCK
FTDR, STOCK
PSTH, STOCK
AUY, STOCK
ACIW, STOCK
FEYE, STOCK
BXMT, STOCK
HLNE, STOCK
DCP, STOCK
KRNT, STOCK
HE, STOCK
WK, STOCK
AWI, STOCK
KBH, STOCK
SPWR, STOCK
NTLA, STOCK
PRSP, STOCK
HLI, STOCK
OCDX, STOCK
XRX, STOCK
CRCT, STOCK
TGNA, STOCK
NFG, STOCK
PACW, STOCK
SIGI, STOCK
AXS, STOCK
SYNA, STOCK
SFIX, STOCK
RDN, STOCK
HR, STOCK
WBS, STOCK
ABCM, STOCK
DAVA, STOCK
HIW, STOCK
POR, STOCK
SSD, STOCK
SHAK, STOCK
INOV, STOCK
BEAM, STOCK
ICUI, STOCK
IOVA, STOCK
OSCR, STOCK
DSEY, STOCK
GOOS, STOCK
ADC, STOCK
AVNT, STOCK
CHK, STOCK
FROG, STOCK
SANA, STOCK
STL, STOCK
CIGI, STOCK
SMTC, STOCK
NEA, STOCK
ALRM, STOCK
HOMB, STOCK
PSB, STOCK
SAIL, STOCK
MDLA, STOCK
UMBF, STOCK
HCM, STOCK
PSN, STOCK
BKH, STOCK
AEIS, STOCK
SGMS, STOCK
OLK, STOCK
AMC, STOCK
ALHC, STOCK
NAV, STOCK
PGNY, STOCK
APHA, STOCK
FSR, STOCK
ATC, STOCK
DOCN, STOCK
TRNO, STOCK
JBT, STOCK
TDC, STOCK
MRCY, STOCK
PINC, STOCK
KWR, STOCK
WWE, STOCK
QTS, STOCK
AVT, STOCK
SAGE, STOCK
MPLN, STOCK
NOVA, STOCK
MSGS, STOCK
SWCH, STOCK
SNDR, STOCK
AMRS, STOCK
CRI, STOCK
APG, STOCK
SEB, STOCK
NRZ, STOCK
WCC, STOCK
SEAS, STOCK
WTFC, STOCK
IIPR, STOCK
OGS, STOCK
RPD, STOCK
CERT, STOCK
ADNT, STOCK
PNM, STOCK
APAM, STOCK
JBGS, STOCK
GRA, STOCK
LPRO, STOCK
UNF, STOCK
ORA, STOCK
RHP, STOCK
WING, STOCK
